FIPS,T2,Q2,U10,V10,SWDOWN,GLW
8107,295.93,0.00792,2.13,-2.4,831.17,337.26
8109,297.1,0.00831,3.09,-4.01,1030.91,315.65
8111,289.06,0.01011,3.12,-3.53,810.16,328.46
8113,299.24,0.00959,3.16,-1.75,996.25,339.23
8115,305.91,0.01191,-1.93,-3.5,963.78,387.06
8117,289.93,0.00892,2.68,-2.32,892.09,323.13
8119,295.42,0.00834,0.05,-2.18,836.32,334.61
8121,306.05,0.00963,-2.27,-3.38,947.81,379.93
8123,304.96,0.00801,-1.82,-4.21,856.88,384.16
8125,306.9,0.01079,-2.39,-1.38,979.71,384.87
9001,296.89,0.01769,-1.77,4.66,143.04,434.01
9003,297.46,0.01801,-1.8,4.81,117.64,432.41
9005,296.0,0.01747,-1.71,3.67,137.57,428.2
9007,296.83,0.01763,-1.9,5.33,97.76,434.72
9009,296.33,0.01737,-2.2,5.43,128.35,431.83
9011,297.32,0.0176,-2.67,6.18,174.48,433.97
9013,297.06,0.01793,-2.52,4.54,105.67,435.54
9015,297.16,0.01792,-2.53,4.93,250.42,433.86
10001,298.35,0.01862,-3.67,4.73,476.89,418.59
10003,299.07,0.01848,-2.83,4.15,428.19,418.87
10005,298.73,0.01854,-2.07,4.96,487.48,419.24
11001,300.95,0.01694,-1.15,2.14,230.59,430.09
12001,303.51,0.019,1.39,0.5,786.85,427.61
12003,305.34,0.01693,1.52,1.73,852.84,430.64
12005,304.47,0.01793,2.22,2.39,904.66,423.15
12007,304.65,0.01771,1.95,2.64,846.07,427.17
12009,302.41,0.02055,0.48,3.26,282.17,436.75
12011,305.33,0.02021,-0.66,3.12,799.45,445.19
12013,306.37,0.01549,0.49,-0.49,789.98,438.67
12015,304.43,0.01985,3.83,3.82,704.99,432.32
12017,302.72,0.01904,1.94,3.68,425.68,432.99
12019,304.79,0.0176,2.0,2.24,763.86,431.65
12021,305.81,0.01892,3.39,4.14,929.17,428.29
12023,304.98,0.01719,1.18,2.1,859.92,431.48
12027,303.61,0.01958,3.5,2.91,646.86,430.84
12029,304.64,0.01672,2.7,2.37,922.85,419.55
12031,304.84,0.01695,0.43,2.08,765.15,433.67
12033,304.39,0.01686,0.02,1.1,957.27,418.15
12035,302.59,0.01985,-1.23,1.87,663.31,428.11
12037,303.49,0.01891,0.52,2.87,923.03,420.6
12039,306.21,0.01561,1.37,-0.49,931.88,426.31
12041,305.01,0.01783,1.79,1.53,906.33,427.74
12043,304.18,0.02094,2.39,1.12,657.88,445.67
12045,304.54,0.01792,2.07,1.88,898.68,426.1
12047,306.4,0.01554,1.61,0.61,895.97,430.4
12049,302.58,0.01955,2.04,3.36,455.18,431.06
12051,306.05,0.01959,2.27,3.22,881.69,440.28
12053,302.18,0.02001,2.31,2.89,515.87,434.34
12055,303.49,0.01967,3.38,1.93,649.3,431.46
12057,303.0,0.01982,2.6,3.99,365.76,437.31
12059,306.68,0.01553,0.34,-1.66,946.74,428.28
12061,302.29,0.02084,0.84,1.47,304.69,436.73
12063,306.34,0.01569,0.38,-1.4,926.49,428.72
12065,305.89,0.01562,1.38,1.54,827.85,433.0
12067,305.28,0.01731,1.53,1.9,914.6,429.81
12069,303.78,0.0198,1.6,3.08,408.42,444.98
12071,304.73,0.01981,3.7,4.85,849.94,425.02
12073,306.27,0.01519,1.18,0.42,796.4,437.43
12075,304.42,0.01805,2.19,3.05,824.38,427.65
12077,306.5,0.01614,1.32,0.54,898.55,433.21
12079,306.37,0.0154,1.84,0.93,818.97,435.93
12081,302.43,0.01998,2.47,4.32,354.35,434.14
12083,304.78,0.01869,2.0,2.43,689.83,439.7
12085,304.23,0.02044,-0.98,2.8,777.12,438.21
12086,305.64,0.01966,0.43,4.17,818.65,440.03
12087,304.19,0.02149,1.84,3.55,930.49,423.56
12089,305.19,0.01698,0.67,1.56,872.26,429.54
12091,305.11,0.01626,0.72,0.78,922.66,423.24
12093,302.59,0.02033,1.96,1.66,364.76,438.6
12095,302.91,0.02051,0.87,3.23,309.36,444.28
