FIPS,T2
21083,90.84
21085,87.39
21087,86.4
21089,87.15
21091,88.32
21093,87.13
21095,82.18
21097,86.59
21099,87.1
21101,89.08
21103,87.15
21105,91.09
21107,89.2
21109,85.35
21111,89.04
21113,86.88
21115,86.49
21117,86.49
21119,84.87
21121,85.33
21123,87.71
21125,85.17
21127,86.09
21129,86.04
21131,84.38
21133,82.53
21135,86.79
21137,85.48
21139,90.61
21141,88.92
21143,90.45
21145,91.15
21147,85.57
21149,88.63
21151,86.31
21153,85.95
21155,86.47
21157,91.04
21159,85.95
21161,86.2
21163,88.23
21165,85.84
21167,87.66
21169,86.9
21171,87.44
21173,85.41
21175,86.16
21177,89.1
21179,88.61
21181,86.85
21183,88.29
21185,87.87
21187,87.39
21189,86.4
21191,86.63
21193,85.08
21195,83.75
21197,85.71
21199,86.23
21201,87.33
21203,84.83
21205,84.78
21207,87.03
21209,87.51
21211,87.62
21213,88.27
21215,88.43
21217,85.87
21219,89.26
21221,90.36
21223,87.4
21225,89.01
21227,88.36
21229,88.0
21231,86.58
21233,89.19
21235,85.57
21237,86.0
21239,87.53
22001,101.44
22003,101.84
22005,102.34
22007,102.78
22009,103.06
22011,101.93
22013,100.9
22015,102.02
22017,103.75
22019,102.54
22021,101.25
22023,97.03
22025,102.24
22027,99.97
22029,102.85
22031,103.21
22033,101.75
22035,100.89
22037,99.54
22039,102.34
22041,99.59
22043,102.52
22045,96.28
22047,103.77
22049,99.9
22051,94.98
22053,101.03
22055,102.49
22057,96.12
22059,101.93
22061,99.59
22063,100.72
22065,100.8
22067,98.92
22069,103.35
22071,92.66
22073,100.51
22075,89.73
22077,103.62
22079,102.31
22081,102.97
22083,99.23
22085,102.6
22087,88.83
22089,98.8
22091,99.34
22093,102.07
22095,97.54
22097,103.21
22099,103.71
22101,96.8
22103,98.08
22105,100.29
22107,101.66
22109,93.34
22111,99.36
22113,98.08
22115,102.11
22117,99.81
22119,100.6
22121,102.42
22123,99.09
22125,101.35
22127,101.57
23001,81.81
23003,76.37
23005,79.0
23007,77.04
23009,77.61
23011,81.97
23013,72.45
23015,77.52
23017,78.78
23019,79.68
23021,77.92
23023,78.08
23025,77.4
23027,81.01
23029,78.58
23031,77.59
24001,82.45
24003,84.61
24005,84.15
24009,84.54
24011,82.56
24013,84.06
24015,84.04
24017,85.55
24019,82.62
24021,85.1
24023,78.12
24025,84.61
24027,84.15
24029,83.08
24031,85.06
24033,84.74
24035,82.15
24037,83.26
24039,82.08
24041,82.24
24043,85.19
24045,83.75
24047,82.27
24510,85.59
25001,77.16
25003,80.83
25005,83.03
25007,78.19
25009,80.49
25011,82.38
25013,84.13
25015,83.17
25017,83.25
25019,74.82
25021,82.9
25023,79.61
25025,81.64
25027,81.57
26001,68.34
26003,62.26
26005,72.81
26007,67.17
26009,85.21
26011,75.15
26013,80.92
26015,87.26
26017,78.26
26019,70.36
26021,70.97
26023,86.29
26025,87.71
26027,88.02
26029,66.27
26031,82.31
26033,74.44
26035,85.53
26037,86.68
26039,86.14
26041,73.06
26043,82.4
26045,87.37
26047,76.17
26049,87.55
26051,85.37
26053,78.17
26055,87.58
26057,85.82
26059,85.35
26061,77.34
26063,70.59
26065,87.62
26067,86.27
26069,67.23
26071,81.54
26073,84.94
26075,87.13
26077,88.34
26079,88.61
26081,86.79
26083,58.93
26085,86.22
26087,84.72
26089,64.0
26091,85.53
26093,87.39
26095,72.34
26097,68.13
26099,83.39
26101,71.85
26103,72.52
26105,69.04
26107,85.33
26109,77.16
26111,85.06
26113,87.1
26115,80.28
26117,85.77
26119,84.56
26121,70.65
26123,86.23
26125,86.65
26127,70.14
26129,84.33
26131,69.8
26133,85.26
26135,84.04
26137,85.21
26139,70.74
26141,63.61
26143,86.54
26145,86.58
26147,82.67
26149,88.57
26151,75.02
26153,72.21
26155,87.21
26157,83.37
26159,75.56
26161,85.59
26163,85.57
26165,86.74
27001,85.51
27003,86.79
27005,89.73
27007,86.43
27009,86.83
27011,91.27
27013,85.1
27015,86.11
27017,84.9
27019,84.85
27021,87.12
27023,88.25
27025,85.69
27027,94.1
27029,89.65
27031,65.93
27033,86.92
27035,88.25
27037,84.34
27039,82.4
27041,87.35
27043,84.63
27045,82.02
27047,83.05
27049,82.83
27051,90.1
27053,85.82
27055,84.29
27057,89.31
27059,85.64
27061,86.74
27063,86.41
27065,85.39
27067,86.94
27069,90.82
27071,88.07
27073,89.47
27075,71.26
27077,83.44
27079,84.38
27081,87.15
27083,88.68
27085,85.01
27087,90.82
27089,89.58
27091,84.92
27093,85.82
27095,84.87
27097,87.8
27099,82.04
27101,87.31
27103,84.99
27105,87.76
27107,93.94
27109,81.88
27111,89.47
27113,88.75
27115,85.28
27117,86.79
27119,91.42
27121,87.08
27123,86.23
27125,89.89
27127,87.94
27129,86.59
27131,83.55
27133,88.47
27135,88.47
27137,81.48
27139,84.56
27141,86.27
27143,84.6
27145,87.89
27147,83.19
27149,89.56
27151,88.59
27153,88.97
